# wavelength,transmittance
5.308640000000000327e+02,2.126571555136599900e-02
5.318640000000000327e+02,1.845549053606599862e-02
5.328630000000000564e+02,1.347288233106500033e-02
5.338619999999999663e+02,9.375751983853500282e-03
5.348619999999999663e+02,8.158786498742999493e-03
5.358609999999999900e+02,8.944540932293899155e-03
5.368609999999999900e+02,1.305593948204599938e-02
5.378600000000000136e+02,2.943069962213600010e-02
5.388590000000000373e+02,5.507258379166300039e-02
5.398590000000000373e+02,9.896616255550400032e-02
5.408579999999999472e+02,2.647857841304699922e-01
5.418579999999999472e+02,5.215209373939100335e-01
5.428569999999999709e+02,6.515722142276300088e-01
5.438569999999999709e+02,6.850480088567200143e-01
5.448559999999999945e+02,6.934849059631299495e-01
5.458550000000000182e+02,6.975128239008699937e-01
5.468550000000000182e+02,6.993961653126700151e-01
5.478540000000000418e+02,7.012942666145900450e-01
5.488540000000000418e+02,7.026132335298399534e-01
5.498529999999999518e+02,7.040275591042599590e-01
5.508520000000000891e+02,7.055219253632200038e-01
5.518520000000000891e+02,7.074627225882399451e-01
5.528509999999999991e+02,7.086233777367300091e-01
5.538509999999999991e+02,7.104276007826699768e-01
5.548500000000000227e+02,7.119407219533799847e-01
5.558500000000000227e+02,7.130119634460799771e-01
5.568489999999999327e+02,7.140130388467399447e-01
5.578479999999999563e+02,7.157499136637299753e-01
5.588479999999999563e+02,7.169593876018499623e-01
5.598469999999999800e+02,7.180048863113599467e-01
5.608469999999999800e+02,7.190608439461400048e-01
5.618460000000000036e+02,7.206412789745999525e-01
5.628450000000000273e+02,7.216834789572400544e-01
5.638450000000000273e+02,7.222594049741000166e-01
5.648439999999999372e+02,7.235479221210600054e-01
5.658439999999999372e+02,7.249834893464299768e-01
5.668430000000000746e+02,7.257762660442800273e-01
5.678419999999999845e+02,7.264218262148800509e-01
5.688419999999999845e+02,7.274166395054399992e-01
5.698410000000000082e+02,7.281410043019499456e-01
5.708410000000000082e+02,7.298198907581400219e-01
5.718399999999999181e+02,7.307260764995500146e-01
5.728399999999999181e+02,7.318664943424499914e-01
5.738390000000000555e+02,7.326725314984100512e-01
5.748379999999999654e+02,7.335366185307099496e-01
5.758379999999999654e+02,7.345625191047100433e-01
5.768369999999999891e+02,7.348152000121900285e-01
5.778369999999999891e+02,7.360417762986699586e-01
5.788360000000000127e+02,7.369788116040699721e-01
5.798350000000000364e+02,7.377287292069100166e-01
5.808350000000000364e+02,7.382185075289400267e-01
5.818340000000000600e+02,7.394986956886100415e-01
5.828340000000000600e+02,7.400252964551700119e-01
5.838329999999999700e+02,7.406363123978799701e-01
5.848319999999999936e+02,7.422318096389799447e-01
5.858319999999999936e+02,7.426704949604300277e-01
5.868310000000000173e+02,7.431234198375600286e-01
5.878310000000000173e+02,7.440489350971899452e-01
5.888300000000000409e+02,7.437932332850299977e-01
5.898300000000000409e+02,7.440853921878699540e-01
5.908289999999999509e+02,7.453677969365000155e-01
5.918279999999999745e+02,7.462185540687099605e-01
5.928279999999999745e+02,7.467790937209100033e-01
5.938269999999999982e+02,7.479033845271599867e-01
5.948269999999999982e+02,7.485473723995500483e-01
5.958260000000000218e+02,7.487464804240899774e-01
5.968250000000000455e+02,7.494694293251300543e-01
5.978250000000000455e+02,7.498261956021800012e-01
5.988239999999999554e+02,7.502964074831099950e-01
5.998239999999999554e+02,7.507824459889099744e-01
6.008229999999999791e+02,7.516773899278700322e-01
6.018220000000000027e+02,7.519502857740300028e-01
6.028220000000000027e+02,7.520955046441899494e-01
6.038210000000000264e+02,7.527961629219099837e-01
6.048210000000000264e+02,7.534604638548999533e-01
6.058199999999999363e+02,7.533674832071199923e-01
6.068199999999999363e+02,7.544671701310899925e-01
6.078189999999999600e+02,7.544455920997199527e-01
6.088179999999999836e+02,7.538396246834899728e-01
6.098179999999999836e+02,7.538459431157300550e-01
6.108170000000000073e+02,7.544812949536799929e-01
6.118170000000000073e+02,7.547179430212900275e-01
6.128160000000000309e+02,7.548930067543100364e-01
6.138149999999999409e+02,7.552509450394500057e-01
6.148149999999999409e+02,7.554245503763099556e-01
6.158140000000000782e+02,7.557345308432700248e-01
6.168140000000000782e+02,7.557031064891700511e-01
6.178129999999999882e+02,7.556467082928499668e-01
6.188120000000000118e+02,7.562213445758599883e-01
6.198120000000000118e+02,7.559865090602799764e-01
6.208109999999999218e+02,7.559461350624899767e-01
6.218109999999999218e+02,7.562566470770000215e-01
6.228100000000000591e+02,7.566956200959500389e-01
6.238100000000000591e+02,7.571986212352900258e-01
6.248089999999999691e+02,7.569677503261800222e-01
6.258079999999999927e+02,7.576711546106099648e-01
6.268079999999999927e+02,7.574705124998399874e-01
6.278070000000000164e+02,7.580249718589699981e-01
6.288070000000000164e+02,7.582351622682399483e-01
6.298060000000000400e+02,7.572244222401599556e-01
6.308050000000000637e+02,7.570965718032800496e-01
6.318050000000000637e+02,7.574141784280099543e-01
6.328039999999999736e+02,7.577596577151599622e-01
6.338039999999999736e+02,7.579861205600699758e-01
6.348029999999999973e+02,7.575653850704000547e-01
6.358020000000000209e+02,7.577846789686000228e-01
6.368020000000000209e+02,7.580590853378900151e-01
6.378010000000000446e+02,7.582019815506899629e-01
6.388010000000000446e+02,7.589342709581400337e-01
6.397999999999999545e+02,7.595092320649200479e-01
6.407999999999999545e+02,7.597977873250799652e-01
6.417989999999999782e+02,7.585293287141200436e-01
6.427980000000000018e+02,7.578798501503799523e-01
6.437980000000000018e+02,7.581177819389499639e-01
6.447970000000000255e+02,7.577258448963000159e-01
6.457970000000000255e+02,7.584683724283399764e-01
6.467960000000000491e+02,7.588506968560200239e-01
6.477949999999999591e+02,7.582480950123100527e-01
6.487949999999999591e+02,7.575648821368999863e-01
6.497939999999999827e+02,7.576721630562199827e-01
6.507939999999999827e+02,7.588234881441799917e-01
